scene,floor,question,choices,question_formatted,answer,label
00052-H1D2FZ8TAv1,2,Is there a bottle of shampoo inside the glass shower already?,"['(Do not choose this option)', 'No', 'Yes', '(Do not choose this option)']",Is there a bottle of shampoo inside the glass shower already? A) (Do not choose this option) B) No C) Yes D) (Do not choose this option). Answer:,C,existence
00056-kdw2Uapns3b,2,Is the TV in the bedroom with blue wall left turned on?,"['(Do not choose this option)', '(Do not choose this option)', 'Yes', 'No']",Is the TV in the bedroom with blue wall left turned on? A) (Do not choose this option) B) (Do not choose this option) C) Yes D) No. Answer:,D,existence
00057-1UnKg1rAb8A,1,Is there a fan somewhere?,"['Yes, it is next to the shower', 'No, there is none', 'Yes, it is next to a bed', 'Yes, it is in the kitchen']","Is there a fan somewhere? A) Yes, it is next to the shower B) No, there is none C) Yes, it is next to a bed D) Yes, it is in the kitchen. Answer:",C,existence
00060-TgWKHxhJAng,2,Did I leave the window in the home office open or closed?,"['Open', '(Do not choose this option)', 'Closed', '(Do not choose this option)']",Did I leave the window in the home office open or closed? A) Open B) (Do not choose this option) C) Closed D) (Do not choose this option). Answer:,C,state
00062-ACZZiU6BXLz,1,I need to find my painting of the ocean. Where is it?,"['Master bedroom', 'Bathroom', 'Hallway', 'Guest bedroom']",I need to find my painting of the ocean. Where is it? A) Master bedroom B) Bathroom C) Hallway D) Guest bedroom. Answer:,D,count
00069-Y8Y6ukxGMvn,0,Is there a floor-standing mirror in the bedroom?,"['(Do not choose this option)', 'Yes, near the bed.', 'Yes, near the door.', ""No, there isn't one.""]","Is there a floor-standing mirror in the bedroom? A) (Do not choose this option) B) Yes, near the bed. C) Yes, near the door. D) No, there isn't one.. Answer:",B,state
00070-w7QyjJ3H9Bp,1,I need to retrieve a book from the shelf. Which room has the large bookshelf?,"['The room with the white curtains', 'The room with the yellow curtains', 'The room with the blue curtains', 'The room with the red curtains']",I need to retrieve a book from the shelf. Which room has the large bookshelf? A) The room with the white curtains B) The room with the yellow curtains C) The room with the blue curtains D) The room with the red curtains. Answer:,C,location
00072-t8wCA6Qe8uT,1,I'm trying to remember where I placed the fruit bowl. Where is it in the living room?,"['On the dining table', 'On the side table by the sofa', 'On the coffee table', 'On the shelf next to the TV']",I'm trying to remember where I placed the fruit bowl. Where is it in the living room? A) On the dining table B) On the side table by the sofa C) On the coffee table D) On the shelf next to the TV. Answer:,A,location
00074-kHvNo8x6Qoe,1,I'm expecting guests and I need extra seating. How many stools are available at the kitchen island?,"['One', 'Two', 'None', 'Three']",I'm expecting guests and I need extra seating. How many stools are available at the kitchen island? A) One B) Two C) None D) Three. Answer:,C,state
00081-5biL7VEkByM,0,Did the housekeeper clear the bookshelves already?,"['Yes, they are clear', 'No, they are still full of books', 'Yes, but there are a few books left', '(Do not choose this option)']","Did the housekeeper clear the bookshelves already? A) Yes, they are clear B) No, they are still full of books C) Yes, but there are a few books left D) (Do not choose this option). Answer:",A,state
00086-315QujoX279,0,Did I leave the air conditioning in the living room on?,"['No, it is off', '(Do not choose this option)', 'Yes, it is on', '(Do not choose this option)']","Did I leave the air conditioning in the living room on? A) No, it is off B) (Do not choose this option) C) Yes, it is on D) (Do not choose this option). Answer:",A,location
00090-C8VQQtzUoqV,0,I'm trying to remember where I placed my floor lamp with the multiple light fixtures.,"['Near the bookshelf', 'In the corner by the window', 'Next to the sofa', 'By the main entrance']",I'm trying to remember where I placed my floor lamp with the multiple light fixtures. A) Near the bookshelf B) In the corner by the window C) Next to the sofa D) By the main entrance. Answer:,B,location
00094-WT4QWwXrMzs,0,Is the gaming chair under the loft bed?,"['Yes', '(Do not choose this option)', '(Do not choose this option)', 'No']",Is the gaming chair under the loft bed? A) Yes B) (Do not choose this option) C) (Do not choose this option) D) No. Answer:,A,existence
00100-y3K5dmhuukt,1,Does the bathtub need to be cleaned?,"['No, it looks very clean', '(Do not choose this option)', '(Do not choose this option)', 'Yes, it looks very stained']","Does the bathtub need to be cleaned? A) No, it looks very clean B) (Do not choose this option) C) (Do not choose this option) D) Yes, it looks very stained. Answer:",A,state
00106-ZVScmfktNQ1,0,Is the door to the closet next to the kitchen left open?,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",Is the door to the closet next to the kitchen left open? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,B,location
00109-GTV2Y73Sn5t,1,I need to find my backpack for a trip. Where did I place it?,"['In the bedroom with the futon', 'In the bedroom with the wooden bed', 'In the office with the large desk', 'Near the upstairs railing']",I need to find my backpack for a trip. Where did I place it? A) In the bedroom with the futon B) In the bedroom with the wooden bed C) In the office with the large desk D) Near the upstairs railing. Answer:,A,existence
00135-HeSYRw7eMtG,1,I forgot where I left the standing fan.,"['Next to the armchair', 'Next to kitchen', 'In the bathroom', 'In the bedroom']",I forgot where I left the standing fan. A) Next to the armchair B) Next to kitchen C) In the bathroom D) In the bedroom. Answer:,A,location
00148-csHQLLFPE3g,0,How many sets of utensils are already set up on the dining table?,"['Two', 'Six', 'None', 'Four']",How many sets of utensils are already set up on the dining table? A) Two B) Six C) None D) Four. Answer:,C,count
00149-UuwwmrTsfBN,1,Is the patio door next to the dining table open?,"['(Do not choose this option)', '(Do not choose this option)', 'Yes', 'No']",Is the patio door next to the dining table open? A) (Do not choose this option) B) (Do not choose this option) C) Yes D) No. Answer:,D,location
00151-D8bT1ambLFc,0,I need to retrieve my exercise ball. Where did I leave it last?,"['In the bedroom', 'In the kitchen', 'In the living room', 'In the home office area']",I need to retrieve my exercise ball. Where did I leave it last? A) In the bedroom B) In the kitchen C) In the living room D) In the home office area. Answer:,D,location
00154-2dZ1Jivh5if,0,How many bar stools are placed at the kitchen counter?,"['Two', 'None', 'Three', 'Four']",How many bar stools are placed at the kitchen counter? A) Two B) None C) Three D) Four. Answer:,A,state
00158-YV9M9gZG3YJ,0,I'm trying to remember where I placed the plush giraffe toy. Where is it?,"['On the hallway console', ""On the shelf in the child's room"", 'On the bed in one of the bedrooms', 'On the bathroom counter']",I'm trying to remember where I placed the plush giraffe toy. Where is it? A) On the hallway console B) On the shelf in the child's room C) On the bed in one of the bedrooms D) On the bathroom counter. Answer:,C,location
00159-DfUQLukPMPc,0,I'm trying to remember where I placed the table tennis paddles. Are they on or near the ping pong table?,"['They are not visible near the ping pong table', 'Under the ping pong table', 'Next to the ping pong table on the floor', 'On the ping pong table']",I'm trying to remember where I placed the table tennis paddles. Are they on or near the ping pong table? A) They are not visible near the ping pong table B) Under the ping pong table C) Next to the ping pong table on the floor D) On the ping pong table. Answer:,D,location
00161-uFCiZVVks57,0,I need to find the orange chair. Where is it?,"['In the bedroom with the patterned wallpaper', 'In the hallway', 'In the dining area', 'In the bedroom with the fireplace']",I need to find the orange chair. Where is it? A) In the bedroom with the patterned wallpaper B) In the hallway C) In the dining area D) In the bedroom with the fireplace. Answer:,D,location
00166-RaYrxWt5pR1,0,I'm looking for my laptop. It is on the bedroom dresser?,"['It is there', '(Do not choose this option)', '(Do not choose this option)', 'It is not there']",I'm looking for my laptop. It is on the bedroom dresser? A) It is there B) (Do not choose this option) C) (Do not choose this option) D) It is not there. Answer:,D,location
00167-yogvKWUrdnw,0,I'm trying to remember where I placed the large wall clock. Where is it?,"['In the dining area', 'In the kitchen', 'In the sunroom', 'In the living area near the fireplace']",I'm trying to remember where I placed the large wall clock. Where is it? A) In the dining area B) In the kitchen C) In the sunroom D) In the living area near the fireplace. Answer:,D,state
00170-S3r45BMWy6H,0,How many chairs are around the dining table in the room with the wooden floor and a red rug?,"['Six', 'Four', 'Eight', 'Two']",How many chairs are around the dining table in the room with the wooden floor and a red rug? A) Six B) Four C) Eight D) Two. Answer:,A,count
00171-mWqBmEyXcXN,1,How many of the shelves on the two bookshelves are completely empty?,"['One', 'None', 'Four', 'Two']",How many of the shelves on the two bookshelves are completely empty? A) One B) None C) Four D) Two. Answer:,B,location
00176-wcJYziD5pmF,0,I need to find the white woven basket. Where is it right now?,"['Next to the bedroom nightstand', 'On the dining table', 'On the kitchen countertop', 'Near the living area sofa']",I need to find the white woven basket. Where is it right now? A) Next to the bedroom nightstand B) On the dining table C) On the kitchen countertop D) Near the living area sofa. Answer:,A,location
00187-GCCrNuhZ9WY,0,Where did I put the woven brown rug?,"['Kitchen entrance', 'Bathroom entrance', 'Living room entrance', 'Bedroom entrance']",Where did I put the woven brown rug? A) Kitchen entrance B) Bathroom entrance C) Living room entrance D) Bedroom entrance. Answer:,D,state
00193-wwX4MFiTTrt,0,Did I put the fruit bar on the kitchen island?,"['No, not yet', '(Do not choose this option)', '(Do not choose this option)', 'Yes, you did']","Did I put the fruit bar on the kitchen island? A) No, not yet B) (Do not choose this option) C) (Do not choose this option) D) Yes, you did. Answer:",A,location
00202-yVbpFay8gTU,1,Did I put away the teepee or is it still on the bedroom floor?,"['(Do not choose this option)', 'It is still there', '(Do not choose this option)', 'It is not seen anywhere any more']",Did I put away the teepee or is it still on the bedroom floor? A) (Do not choose this option) B) It is still there C) (Do not choose this option) D) It is not seen anywhere any more. Answer:,B,existence
00203-VoVGtfYrpuQ,0,Is the air conditioning unit in the dining area still on?,"['(Do not choose this option)', ""Yes, it's on"", '(Do not choose this option)', ""No, it's not on""]","Is the air conditioning unit in the dining area still on? A) (Do not choose this option) B) Yes, it's on C) (Do not choose this option) D) No, it's not on. Answer:",D,location
00204-gxttMtT5ZGK,1,Did I Ieave anything on the bench near the front entrance?,"['A hat', 'Nothing', 'A jacket', 'A package']",Did I Ieave anything on the bench near the front entrance? A) A hat B) Nothing C) A jacket D) A package. Answer:,B,state
00217-qz3829g1Lzf,0,Did I leave any pot on the stove?,"['Two', 'None', 'Three', 'One']",Did I leave any pot on the stove? A) Two B) None C) Three D) One. Answer:,B,count
00218-fQHGxvurx9L,0,I forgot if there is any drawer under the bed with light-colored bedding.,"['There are drawers', '(Do not choose this option)', 'There is none', '(Do not choose this option)']",I forgot if there is any drawer under the bed with light-colored bedding. A) There are drawers B) (Do not choose this option) C) There is none D) (Do not choose this option). Answer:,A,existence
00224-8m2Sk2sC3DR,1,I'm looking for the white woven ottoman. Where it is?,"['In the hallway next to dresser', 'In the bathroom', 'In the bedroom', 'Next to the coffee tabel']",I'm looking for the white woven ottoman. Where it is? A) In the hallway next to dresser B) In the bathroom C) In the bedroom D) Next to the coffee tabel. Answer:,D,location
00227-bvdRzJBgJyg,1,Which rug is in the bathroom?,"['Yellow one', 'Green one', 'White one', 'Blue one']",Which rug is in the bathroom? A) Yellow one B) Green one C) White one D) Blue one. Answer:,A,identification
00245-741Fdj7NLF9,0,Can you check if I left the lamps on in the bedroom with gray bedding?,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",Can you check if I left the lamps on in the bedroom with gray bedding? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,D,count
00258-2Pc8W48bu21,1,Which channel is being shown on the TV?,"['Sports', 'News', 'Drama', 'It is not on']",Which channel is being shown on the TV? A) Sports B) News C) Drama D) It is not on. Answer:,A,existence
00262-1xGrZPxG1Hz,1,Are the candles by the entrace put out?,"['Yes, they are out', 'No, the flame still on', '(Do not choose this option)', '(Do not choose this option)']","Are the candles by the entrace put out? A) Yes, they are out B) No, the flame still on C) (Do not choose this option) D) (Do not choose this option). Answer:",A,existence
00268-mHJxL9jnCox,0,How many bookshelves are in the room with the piano?,"['None', 'Four', 'Six', 'Two']",How many bookshelves are in the room with the piano? A) None B) Four C) Six D) Two. Answer:,B,location
00273-8DDKELpgD99,0,I need to replace the rugs. Which one is at the entrance door?,"['Gray', 'Red', 'Wood', 'Brown']",I need to replace the rugs. Which one is at the entrance door? A) Gray B) Red C) Wood D) Brown. Answer:,A,location
00275-4dbCzNN5L5t,0,"Is the ""Happy Birthday"" balloon still floating in the room with the toy car?","['Yes', '(Do not choose this option)', 'No', '(Do not choose this option)']","Is the ""Happy Birthday"" balloon still floating in the room with the toy car? A) Yes B) (Do not choose this option) C) No D) (Do not choose this option). Answer:",A,identification
00282-8nSVqHLMRwQ,0,I'm trying to remember where I placed the wooden chalkboard.,"['In the office on the desk', 'In the living room near the sofa', 'In the hallway by the entrance', 'In the kitchen near the oven']",I'm trying to remember where I placed the wooden chalkboard. A) In the office on the desk B) In the living room near the sofa C) In the hallway by the entrance D) In the kitchen near the oven. Answer:,D,state
00285-QKGMrurUVbk,0,Where did I leave the big bag of Bounty paper towel?,"['It is next to bed', 'It is in the bathroom', 'It is in the kitchen', 'It is next to TV']",Where did I leave the big bag of Bounty paper towel? A) It is next to bed B) It is in the bathroom C) It is in the kitchen D) It is next to TV. Answer:,B,location
00292-reHtN7VMWkg,0,Are the black shades in the bedroom pulled down?,"['No, they are up', '(Do not choose this option)', '(Do not choose this option)', 'Yes, they are down']","Are the black shades in the bedroom pulled down? A) No, they are up B) (Do not choose this option) C) (Do not choose this option) D) Yes, they are down. Answer:",A,state
00299-bdp1XNEdvmW,0,How many sports balls are stored on the rack in the hallway?,"['Two', 'Five', 'Three', 'Four']",How many sports balls are stored on the rack in the hallway? A) Two B) Five C) Three D) Four. Answer:,C,existence
00302-JFgrz9MNz4b,2,Which pillow is left on the lower bunker bed?,"['Black one', 'Green one', 'White one', 'Yellow one']",Which pillow is left on the lower bunker bed? A) Black one B) Green one C) White one D) Yellow one. Answer:,B,identification
00303-ghWQ5kHV97i,0,Is the bedroom wardrobe door closed?,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",Is the bedroom wardrobe door closed? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,A,existence
00306-Y4L8fjz2yH7,1,I am trying to find some cloth hangers.,"['In the bathroom', 'On the bookshelf', 'On the bed', 'By the digital piano']",I am trying to find some cloth hangers. A) In the bathroom B) On the bookshelf C) On the bed D) By the digital piano. Answer:,D,location
00315-We1N7vBtyGm,1,Is there already some shampoo in the shower?,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",Is there already some shampoo in the shower? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,B,location
00327-xgLmjqzoAzF,0,Where did I leave the black suitcases?,"['In the laundry room', 'In the bedroom', 'In the living room', 'In the hallway closet']",Where did I leave the black suitcases? A) In the laundry room B) In the bedroom C) In the living room D) In the hallway closet. Answer:,D,state
00330-WhNyDTnd9g5,2,Is the curtain shade pulled down in the kid's room?,"['Yes, it is down', 'No, it is up', '(Do not choose this option)', '(Do not choose this option)']","Is the curtain shade pulled down in the kid's room? A) Yes, it is down B) No, it is up C) (Do not choose this option) D) (Do not choose this option). Answer:",A,existence
00331-gGMMut83nsX,0,IHow many bar stools are at the kitchen counter?,"['Five', 'Four', 'Three', 'Two']",IHow many bar stools are at the kitchen counter? A) Five B) Four C) Three D) Two. Answer:,C,state
00333-LLecyBe5Eq2,0,Can you find me the air purifier?,"['Next to sofa', 'Next to dining table', 'In the bedroom', 'In the bathroom']",Can you find me the air purifier? A) Next to sofa B) Next to dining table C) In the bedroom D) In the bathroom. Answer:,B,state
00347-bwoBmU23M2N,1,Which fruit is there at the top of fruit bowl?,"['Banana', 'Apple', 'Orange', 'Grapes']",Which fruit is there at the top of fruit bowl? A) Banana B) Apple C) Orange D) Grapes. Answer:,A,location
00349-p32JzpQyhPk,0,Is there any pot left on the stove?,"['There is one', 'There is none', 'There are two', 'There are three']",Is there any pot left on the stove? A) There is one B) There is none C) There are two D) There are three. Answer:,A,identification
00359-aTf5zsbjZMb,0,Which rug is there on the kitchen floor right now?,"['Black one', 'Brown one', 'Gray one', 'Blue one']",Which rug is there on the kitchen floor right now? A) Black one B) Brown one C) Gray one D) Blue one. Answer:,C,identification
00364-tEafuWwhhwr,0,Which pillow is on the green chair on the porch?,"['Blue', 'Red', 'White', 'Yellow']",Which pillow is on the green chair on the porch? A) Blue B) Red C) White D) Yellow. Answer:,A,identification
00376-wxixLWuvLjd,0,Is the fruit bowl left on the kitchen countertop?,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",Is the fruit bowl left on the kitchen countertop? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,C,existence
00389-d6bYiL1d9Fh,0,How many chairs are there around the dining table now?,"['Six', 'Eight', 'Two', 'Four']",How many chairs are there around the dining table now? A) Six B) Eight C) Two D) Four. Answer:,A,count
00396-wuKkTq5GJbi,1,Is the kettle left on the kitchen counter?,"['(Do not choose this option)', 'No', 'Yes', '(Do not choose this option)']",Is the kettle left on the kitchen counter? A) (Do not choose this option) B) No C) Yes D) (Do not choose this option). Answer:,B,existence
00410-v7DzfFFEpsD,0,Which side of the front door is the plant now?,"['Left side', '(Do not choose this option)', 'Right side', 'There is no plant there']",Which side of the front door is the plant now? A) Left side B) (Do not choose this option) C) Right side D) There is no plant there. Answer:,C,state
00411-o4tckGBtaxz,1,Which fruit do we have in the kitchen?,"['Oranges', 'Apples', 'Watermelons', 'Bananas']",Which fruit do we have in the kitchen? A) Oranges B) Apples C) Watermelons D) Bananas. Answer:,A,identification
00412-mDPCxA7W1WN,0,How many small plants are there next to the kitchen sink?,"['One', 'None', 'Three', 'More than five']",How many small plants are there next to the kitchen sink? A) One B) None C) Three D) More than five. Answer:,A,count
00423-bEdki9cbHDG,0,What kind of stove is there in this house?,"['Gas stove', 'Induction stove', '(Do not choose this option)', 'Electric stove']",What kind of stove is there in this house? A) Gas stove B) Induction stove C) (Do not choose this option) D) Electric stove. Answer:,B,identification
00425-SSbSnMigayt,0,How many stuffed animals are on top of the bookshelf in the bedroom?,"['Three', 'Two', 'One', 'Four']",How many stuffed animals are on top of the bookshelf in the bedroom? A) Three B) Two C) One D) Four. Answer:,B,count
00432-vCfHLVSyL21,1,I'm trying to remember where I placed the round mirror.,"['In the room with the single bed', '(Do not choose this option)', 'In the room with the double bed', 'In the room with the beige carpet and no furniture']",I'm trying to remember where I placed the round mirror. A) In the room with the single bed B) (Do not choose this option) C) In the room with the double bed D) In the room with the beige carpet and no furniture. Answer:,A,location
00436-TGVJHgmMGzi,1,Which carpet did I put at the entrance door?,"['There is no carpet', 'Red', 'Black', 'White']",Which carpet did I put at the entrance door? A) There is no carpet B) Red C) Black D) White. Answer:,D,identification
00445-H81QMurNRM8,1,How many wooden benches are there in the office?,"['Three', 'None', 'One', 'Two']",How many wooden benches are there in the office? A) Three B) None C) One D) Two. Answer:,A,count
00479-p4ZPcGtk6Ex,1,Where is the plush heart-shaped pillow?,"['On the single bed', 'On the treadmill', 'On the double bed', 'On the dresser']",Where is the plush heart-shaped pillow? A) On the single bed B) On the treadmill C) On the double bed D) On the dresser. Answer:,A,location
00483-boHtwWDWtXh,0,Is the bedroom lamp left on?,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",Is the bedroom lamp left on? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,B,state
00492-panm7DRsmDn,1,What did I leave on the bench at the foot of the bed?,"['Backpack', 'Coat', 'Pillow', 'Laptop']",What did I leave on the bench at the foot of the bed? A) Backpack B) Coat C) Pillow D) Laptop. Answer:,C,identification
00510-JSgMy8tTACD,1,Is there a bathrobe available in the wardrobe for the guest to use after a shower?,"['(Do not choose this option)', 'Yes', '(Do not choose this option)', 'No']",Is there a bathrobe available in the wardrobe for the guest to use after a shower? A) (Do not choose this option) B) Yes C) (Do not choose this option) D) No. Answer:,B,existence
00512-WZDzPCybQvS,2,What color is the rug at the bathtub?,"['Brown', 'White', 'Black', 'Gray']",What color is the rug at the bathtub? A) Brown B) White C) Black D) Gray. Answer:,D,identification
00525-iKFn6fzyRqs,0,I am trying to remember where I left the dog food plates.,"['In the kitchen', 'In the storage room', 'In the living room', 'At the dining place']",I am trying to remember where I left the dog food plates. A) In the kitchen B) In the storage room C) In the living room D) At the dining place. Answer:,D,location
00535-XKqDR74W1JU,1,How many towels are there at the oven?,"['None', 'Two', 'One', 'More than three']",How many towels are there at the oven? A) None B) Two C) One D) More than three. Answer:,A,count
00573-1zDbEdygBeW,1,I'm trying to remember where I placed the blue vase. Is it on any of the shelves in the living area?,"['On the top shelf', 'On the bottom shelf', 'On the middle shelf', ""It's not on the shelves""]",I'm trying to remember where I placed the blue vase. Is it on any of the shelves in the living area? A) On the top shelf B) On the bottom shelf C) On the middle shelf D) It's not on the shelves. Answer:,A,existence
00574-bXu6SSWkJY8,1,Where id the small wooden stool?,"['Under the window in the bathroom', 'By the entrance door with the white panels', 'Near the bed with the white bedding', 'Next to the fireplace in the floral wallpaper room']",Where id the small wooden stool? A) Under the window in the bathroom B) By the entrance door with the white panels C) Near the bed with the white bedding D) Next to the fireplace in the floral wallpaper room. Answer:,A,location
00582-TYDavTf8oyy,1,I'm trying to remember where I placed the candle holder. Where is it in the dining room?,"['On the window sill', '(Do not choose this option)', 'On the sideboard', 'On the dining table']",I'm trying to remember where I placed the candle holder. Where is it in the dining room? A) On the window sill B) (Do not choose this option) C) On the sideboard D) On the dining table. Answer:,C,existence
00585-CxxHb5C8ZsP,2,Which set of bedding is on the kid's bed?,"['Light pink', 'Dark blue', 'Light purple', 'Yellow']",Which set of bedding is on the kid's bed? A) Light pink B) Dark blue C) Light purple D) Yellow. Answer:,A,identification
00597-D8aaq3PH6dG,1,How many pillows are on the single bed with white bedding?,"['None', 'Two', 'One', 'Three']",How many pillows are on the single bed with white bedding? A) None B) Two C) One D) Three. Answer:,B,count
00600-ENhuWpDE5EB,0,Which carpet is at the entrance door right now?,"['Gray one', 'Black one', 'White one', 'There is no carpet']",Which carpet is at the entrance door right now? A) Gray one B) Black one C) White one D) There is no carpet. Answer:,D,identification
00614-ki6Cu76pWzF,1,Which rug is at the shower next to the walk-in closet?,"['Yellow', 'Gray', 'Black', 'White']",Which rug is at the shower next to the walk-in closet? A) Yellow B) Gray C) Black D) White. Answer:,B,identification
00618-T4G9hTR5WSv,0,Is the vacuum cleaner leaning against the wall or hanging on the wall?,"['(Do not choose this option)', 'Leaning against', '(Do not choose this option)', 'Hanging']",Is the vacuum cleaner leaning against the wall or hanging on the wall? A) (Do not choose this option) B) Leaning against C) (Do not choose this option) D) Hanging. Answer:,D,state
00649-RiwBKy2YdQ7,0,How many jackets are there hanging in the office?,"['Two', '(Do not choose this option)', 'None', 'One']",How many jackets are there hanging in the office? A) Two B) (Do not choose this option) C) None D) One. Answer:,A,count
00663-1Rg1SS1dRpG,1,Is there any pair of slippers on the stairs?,"['No', '(Do not choose this option)', '(Do not choose this option)', 'Yes']",Is there any pair of slippers on the stairs? A) No B) (Do not choose this option) C) (Do not choose this option) D) Yes. Answer:,A,existence
00667-5K2dTSVihN7,1,Where is the vacuum cleaner?,"['It is in the kitchen', 'It is next to the dresser', 'It is lying on the living room floor', 'It is in the bathroom']",Where is the vacuum cleaner? A) It is in the kitchen B) It is next to the dresser C) It is lying on the living room floor D) It is in the bathroom. Answer:,B,location
00757-LVgQNuK8vtv,0,I'm trying to remember where I placed my decorative zebra-patterned stool. Where is it?,"['Near the staircase', 'In the coat closet', 'In the kitchen', 'In the dining room']",I'm trying to remember where I placed my decorative zebra-patterned stool. Where is it? A) Near the staircase B) In the coat closet C) In the kitchen D) In the dining room. Answer:,A,location
